Nominal,Posisi,NomorPembacaan,Merah,Hijau,Biru
0,1,1,8628,41273,4581
0,1,2,8683,41254,4581
0,1,3,8685,41250,4583
0,1,4,8679,41233,4581
0,1,5,8678,41264,4585
0,1,6,8696,41262,4582
0,1,7,8696,41275,4584
0,1,8,8689,41265,4584
0,1,9,8699,41285,4577
0,1,10,8690,41206,4573
0,1,11,8682,41274,4574
0,1,12,8684,41258,4583
0,1,13,8689,41269,4580
0,1,14,8678,41262,4580
0,1,15,8678,41216,4571
0,1,16,8682,41196,4568
0,1,17,8681,41219,4581
0,1,18,8674,41216,4567
0,1,19,8680,41234,4571
0,1,20,8689,41229,4579
0,1,21,8675,41247,4580
0,1,22,8674,41210,4570
0,1,23,8689,41238,4571
0,1,24,8684,41262,4577
0,1,25,8676,41218,4569
0,1,26,8689,41229,4577
0,1,27,8677,41223,4581
0,1,28,8686,41230,4575
0,1,29,8684,41207,4570
0,1,30,8687,41228,4576
0,1,31,8680,41241,4579
0,1,32,8679,41228,4570
0,1,33,8686,41225,4577
0,1,34,8692,41241,4578
0,1,35,8677,41229,4576
0,1,36,8680,41212,4573
0,1,37,8689,41215,4576
0,1,38,8684,41207,4575
0,1,39,8664,41127,4562
0,1,40,8660,41130,4561
0,1,41,8648,41119,4560
0,1,42,8668,41143,4566
0,1,43,8669,41124,4560
0,1,44,8662,41158,4569
0,1,45,8676,41141,4568
0,1,46,8670,41168,4572
0,1,47,8675,41134,4559
0,1,48,8660,41134,4559
0,1,49,8656,41124,4561
0,1,50,8661,41155,4571
0,1,51,8671,41152,4567
0,1,52,8670,41160,4572
0,1,53,8675,41187,4566
0,1,54,8686,41211,4571
0,1,55,8675,41187,4570
0,1,56,8682,41212,4578
0,1,57,8684,41218,4571
0,1,58,8691,41217,4573
0,1,59,8690,41235,4578
0,1,60,8685,41249,4579
0,1,61,8689,41238,4585
0,1,62,8678,41266,4582
0,1,63,8694,41228,4581
0,1,64,8686,41263,4583
0,1,65,8694,41260,4584
0,1,66,8689,41181,4583
0,1,67,8695,41271,4586
0,1,68,8695,41253,4584
0,1,69,8691,41253,4581
0,1,70,8683,41209,4579
0,1,71,8688,41214,4572
0,1,72,8685,41204,4580
0,1,73,8680,41209,4584
0,1,74,8693,41246,4584
0,1,75,8685,41223,4580
0,1,76,8696,41273,4580
0,1,77,8689,41278,4586
0,1,78,8690,41250,4587
0,1,79,8706,41284,4588
0,1,80,8709,41295,4578
0,1,81,8695,41287,4581
0,1,82,8699,41284,4585
0,1,83,8711,41295,4592
0,1,84,8713,41295,4583
0,1,85,8703,41221,4580
0,1,86,8704,41264,4577
0,1,87,8696,41276,4586
0,1,88,8699,41300,4587
0,1,89,8702,41283,4588
0,1,90,8698,41257,4579
0,1,91,8696,41282,4582
0,1,92,8698,41283,4587
0,1,93,8701,41260,4580
0,1,94,8707,41269,4578
0,1,95,8691,41268,4583
0,1,96,8693,41250,4586
0,1,97,8693,41267,4584
0,1,98,8688,41243,4585
0,1,99,8700,41237,4585
0,1,100,8691,41240,4581
0,2,1,8610,41156,4577
0,2,2,8657,41113,4568
0,2,3,8677,41158,4575
0,2,4,8683,41140,4571
0,2,5,8673,41144,4571
0,2,6,8675,41140,4575
0,2,7,8675,41133,4565
0,2,8,8677,41113,4574
0,2,9,8674,41142,4568
0,2,10,8674,41128,4572
0,2,11,8673,41144,4572
0,2,12,8666,41114,4567
0,2,13,8664,41111,4567
0,2,14,8669,41110,4575
0,2,15,8679,41120,4572
0,2,16,8666,41127,4567
0,2,17,8673,41105,4573
0,2,18,8676,41117,4575
0,2,19,8671,41156,4570
0,2,20,8680,41139,4576
0,2,21,8680,41139,4571
0,2,22,8687,41171,4578
0,2,23,8678,41151,4570
0,2,24,8688,41162,4581
0,2,25,8686,41226,4579
0,2,26,8685,41165,4574
0,2,27,8684,41198,4576
0,2,28,8690,41197,4574
0,2,29,8698,41176,4581
0,2,30,8687,41155,4577
0,2,31,8681,41149,4572
0,2,32,8683,41152,4576
0,2,33,8675,41152,4571
0,2,34,8684,41147,4577
0,2,35,8675,41165,4570
0,2,36,8681,41168,4572
0,2,37,8683,41182,4581
0,2,38,8680,41204,4576
0,2,39,8687,41194,4580
0,2,40,8696,41245,4581
0,2,41,8698,41251,4590
0,2,42,8703,41279,4585
0,2,43,8710,41269,4582
0,2,44,8707,41277,4591
0,2,45,8703,41293,4584
0,2,46,8701,41277,4591
0,2,47,8700,41297,4586
0,2,48,8705,41303,4592
